['note_on', 'channel=0', 'note=55', 'velocity=0', 'time=0.203125', 296514.7569444448, 41229.045631798814]
['note_on', 'channel=0', 'note=62', 'velocity=53', 'time=0.11041666666666666', 296629.7743055559, 41447.63892050176]
['note_on', 'channel=0', 'note=62', 'velocity=0', 'time=0.2583333333333333', 296898.87152777816, 41959.06472803318]
['note_on', 'channel=0', 'note=69', 'velocity=45', 'time=0.18958333333333333', 297096.35416666704, 42334.385280334405]
['note_on', 'channel=0', 'note=76', 'velocity=47', 'time=0.4770833333333333', 297593.3159722226, 43278.87326359798]
['note_on', 'channel=0', 'note=81', 'velocity=60', 'time=0.45208333333333334', 298064.2361111115, 44173.86842677786]
['note_on', 'channel=0', 'note=76', 'velocity=0', 'time=0.09270833333333334', 298160.80729166704, 44357.40430125484]
['note_on', 'channel=0', 'note=81', 'velocity=0', 'time=0.4739583333333333', 298654.5138888893, 45295.70568200801]
['note_on', 'channel=0', 'note=88', 'velocity=61', 'time=0.003125', 298657.7690972226, 45301.892284518435]
['note_on', 'channel=0', 'note=69', 'velocity=0', 'time=0.5604166666666667', 299241.5364583337, 46411.356334727636]
['note_on', 'channel=0', 'note=69', 'velocity=45', 'time=0.8645833333333334', 300142.1440972226, 48122.98302928824]
['note_on', 'channel=0', 'note=81', 'velocity=46', 'time=0.00625', 300148.6545138893, 48135.35623430919]
['note_on', 'channel=0', 'note=88', 'velocity=0', 'time=0.013541666666666667', 300162.7604166671, 48162.16484518791]
['note_on', 'channel=0', 'note=69', 'velocity=0', 'time=0.8937499999999999', 301093.7500000004, 49931.53316317946]
['note_on', 'channel=0', 'note=81', 'velocity=0', 'time=0.26666666666666666', 301371.5277777782, 50459.45657740545]
['note_on', 'channel=0', 'note=59', 'velocity=44', 'time=0.978125', 302390.40798611153, 52395.86316317942]
['control_change', 'channel=0', 'control=64', 'value=0', 'time=0.24687499999999998', 302647.56944444485, 52884.60476150573]
['note_on', 'channel=0', 'note=66', 'velocity=43', 'time=0.178125', 302833.11631944485, 53237.241104601955]
['control_change', 'channel=0', 'control=64', 'value=127', 'time=0.0875', 302924.26215277816, 53410.4659748948]
['note_on', 'channel=0', 'note=73', 'velocity=56', 'time=0.3104166666666667', 303247.6128472226, 54025.00182426716]
['note_on', 'channel=0', 'note=80', 'velocity=49', 'time=0.5083333333333333', 303777.1267361115, 55031.3558326353]
['note_on', 'channel=0', 'note=87', 'velocity=59', 'time=0.46458333333333335', 304261.0677083337, 55951.09740585709]
['note_on', 'channel=0', 'note=80', 'velocity=0', 'time=0.07604166666666666', 304340.27777777816, 56101.63806694494]
['note_on', 'channel=0', 'note=73', 'velocity=0', 'time=0.3072916666666667', 304660.3732638893, 56709.98731380687]
['note_on', 'channel=0', 'note=66', 'velocity=0', 'time=0.005208333333333333', 304665.79861111153, 56720.29831799102]
['note_on', 'channel=0', 'note=80', 'velocity=49', 'time=0.0125', 304678.81944444485, 56745.04472803283]
['note_on', 'channel=0', 'note=87', 'velocity=0', 'time=0.036458333333333336', 304716.7968750004, 56817.22175732154]
['note_on', 'channel=0', 'note=59', 'velocity=0', 'time=0.09791666666666667', 304818.7934027782, 57011.06863598269]
['note_on', 'channel=0', 'note=73', 'velocity=40', 'time=0.21562499999999998', 305043.4027777782, 57437.94420920443]
['note_on', 'channel=0', 'note=73', 'velocity=0', 'time=0.40729166666666666', 305467.664930556, 58244.26473640112]
['note_on', 'channel=0', 'note=66', 'velocity=43', 'time=0.011458333333333333', 305479.6006944449, 58266.94894560612]
['note_on', 'channel=0', 'note=66', 'velocity=0', 'time=0.2520833333333333', 305742.18750000047, 58766.001548116576]
['note_on', 'channel=0', 'note=66', 'velocity=24', 'time=0.14895833333333333', 305897.352430556, 59060.896267781856]
['note_on', 'channel=0', 'note=66', 'velocity=0', 'time=0.15104166666666666', 306054.68750000047, 59359.91538912074]
['note_on', 'channel=0', 'note=59', 'velocity=50', 'time=0.040625', 306097.0052083338, 59440.34122175669]
['note_on', 'channel=0', 'note=59', 'velocity=0', 'time=0.18645833333333334', 306291.23263888934, 59809.475171547485]
['note_on', 'channel=0', 'note=80', 'velocity=0', 'time=1.2604166666666667', 307604.16666666715, 62304.738184099784]
['note_on', 'channel=0', 'note=32', 'velocity=53', 'time=0.11666666666666667', 307725.69444444496, 62535.70467782369]
['control_change', 'channel=0', 'control=64', 'value=0', 'time=0.26979166666666665', 308006.7274305561, 63069.814694560104]
['note_on', 'channel=0', 'note=39', 'velocity=48', 'time=0.178125', 308192.2743055561, 63422.45103765632]
['note_on', 'channel=0', 'note=32', 'velocity=0', 'time=0.22604166666666667', 308427.7343750005, 63869.94861924626]
['control_change', 'channel=0', 'control=64', 'value=127', 'time=0.16458333333333333', 308599.1753472228, 64195.77635146387]
['note_on', 'channel=0', 'note=47', 'velocity=52', 'time=0.05', 308651.2586805561, 64294.761991631196]
['note_on', 'channel=0', 'note=39', 'velocity=0', 'time=0.06875', 308722.8732638894, 64430.86724686128]
['note_on', 'channel=0', 'note=47', 'velocity=0', 'time=0.12083333333333333', 308848.74131944496, 64670.08254393242]
['note_on', 'channel=0', 'note=51', 'velocity=48', 'time=0.17604166666666665', 309032.1180555561, 65018.594485355025]
['note_on', 'channel=0', 'note=56', 'velocity=56', 'time=0.37395833333333334', 309421.65798611165, 65758.92458577343]
['note_on', 'channel=0', 'note=51', 'velocity=0', 'time=0.013541666666666667', 309435.76388888946, 65785.73319665215]
['note_on', 'channel=0', 'note=56', 'velocity=0', 'time=0.2708333333333333', 309717.881944445, 66321.90541422537]
['note_on', 'channel=0', 'note=63', 'velocity=47', 'time=0.1125', 309835.069444445, 66544.62310460192]
['note_on', 'channel=0', 'note=68', 'velocity=48', 'time=0.39791666666666664', 310249.56597222283, 67332.38382426725]
['note_on', 'channel=0', 'note=73', 'velocity=60', 'time=0.4239583333333333', 310691.1892361117, 68171.69956485297]
['note_on', 'channel=0', 'note=78', 'velocity=63', 'time=0.41875', 311127.3871527784, 69000.70430125466]
['note_on', 'channel=0', 'note=68', 'velocity=0', 'time=0.06979166666666667', 311200.0868055562, 69138.87175732167]
['note_on', 'channel=0', 'note=73', 'velocity=0', 'time=0.030208333333333334', 311231.5538194451, 69198.67558158943]
['note_on', 'channel=0', 'note=63', 'velocity=0', 'time=0.04895833333333333', 311282.55208333395, 69295.59902091994]
['note_on', 'channel=0', 'note=82', 'velocity=57', 'time=0.25729166666666664', 311550.56423611176, 69804.96262761454]
['note_on', 'channel=0', 'note=78', 'velocity=0', 'time=0.052083333333333336', 311604.817708334, 69908.07266945559]
['note_on', 'channel=0', 'note=82', 'velocity=0', 'time=0.3072916666666667', 311924.91319444514, 70516.42191631753]
['note_on', 'channel=0', 'note=90', 'velocity=62', 'time=0.07291666666666667', 312000.86805555626, 70660.77597489496]
['note_on', 'channel=0', 'note=71', 'velocity=58', 'time=0.009375', 312010.63368055626, 70679.33578242634]
['note_on', 'channel=0', 'note=78', 'velocity=53', 'time=0.005208333333333333', 312016.0590277785, 70689.64678661048]
['note_on', 'channel=0', 'note=68', 'velocity=53', 'time=0.00625', 312022.5694444452, 70702.01999163145]
['note_on', 'channel=0', 'note=64', 'velocity=46', 'time=0.0020833333333333333', 312024.73958333407, 70706.14439330506]
['note_on', 'channel=0', 'note=68', 'velocity=0', 'time=0.06979166666666667', 312097.4392361119, 70844.31184937207]
['note_on', 'channel=0', 'note=64', 'velocity=0', 'time=0.004166666666666667', 312101.7795138897, 70852.5606527194]
['note_on', 'channel=0', 'note=71', 'velocity=0', 'time=0.017708333333333333', 312120.22569444525, 70887.61806694536]
['note_on', 'channel=0', 'note=78', 'velocity=0', 'time=0.21666666666666667', 312345.9201388897, 71316.55584100392]
['note_on', 'channel=0', 'note=90', 'velocity=0', 'time=0.7625', 313140.190972223, 72826.08685355613]
['note_on', 'channel=0', 'note=90', 'velocity=68', 'time=0.6416666666666666', 313808.5937500008, 74096.40256903734]
['note_on', 'channel=0', 'note=80', 'velocity=61', 'time=0.0020833333333333333', 313810.7638888897, 74100.52697071095]
['note_on', 'channel=0', 'note=85', 'velocity=68', 'time=0.0010416666666666667', 313811.8489583341, 74102.58917154776]
['note_on', 'channel=0', 'note=90', 'velocity=0', 'time=0.09895833333333333', 313914.9305555564, 74298.49825104572]
['note_on', 'channel=0', 'note=80', 'velocity=0', 'time=0', 313914.9305555564, 74298.49825104572]
['note_on', 'channel=0', 'note=85', 'velocity=0', 'time=0.04479166666666667', 313961.5885416675, 74387.172887029]
['note_on', 'channel=0', 'note=65', 'velocity=49', 'time=2.384375', 316445.3125000008, 79107.55060251]
['note_on', 'channel=0', 'note=70', 'velocity=57', 'time=0.004166666666666667', 316449.6527777786, 79115.79940585734]
['note_on', 'channel=0', 'note=77', 'velocity=50', 'time=0.0010416666666666667', 316450.73784722306, 79117.86160669415]
['note_on', 'channel=0', 'note=64', 'velocity=39', 'time=0.020833333333333332', 316472.43923611194, 79159.10562343053]
['note_on', 'channel=0', 'note=55', 'velocity=48', 'time=0.0020833333333333333', 316474.6093750008, 79163.23002510415]
['note_on', 'channel=0', 'note=48', 'velocity=44', 'time=0.0010416666666666667', 316475.69444444525, 79165.29222594095]
['control_change', 'channel=0', 'control=64', 'value=0', 'time=0.6291666666666667', 317131.0763888897, 80410.86153138024]
['control_change', 'channel=0', 'control=64', 'value=127', 'time=0.46458333333333335', 317615.01736111194, 81330.60310460202]
['note_on', 'channel=0', 'note=64', 'velocity=0', 'time=1.1052083333333333', 318766.2760416675, 83518.59819246808]
['note_on', 'channel=0', 'note=65', 'velocity=0', 'time=0.04375', 318811.8489583342, 83605.21062761455]
['note_on', 'channel=0', 'note=77', 'velocity=0', 'time=0.019791666666666666', 318832.4652777786, 83644.39244351414]
['note_on', 'channel=0', 'note=48', 'velocity=0', 'time=0.11354166666666667', 318950.73784722306, 83869.1723347275]
['note_on', 'channel=0', 'note=70', 'velocity=0', 'time=0.06875', 319022.3524305564, 84005.27758995758]
['note_on', 'channel=0', 'note=55', 'velocity=0', 'time=0.0375', 319061.4149305564, 84079.5168200831]
['note_on', 'channel=0', 'note=68', 'velocity=51', 'time=1.2541666666666667', 320367.8385416675, 86562.40662761444]
['note_on', 'channel=0', 'note=74', 'velocity=50', 'time=0.005208333333333333', 320373.26388888975, 86572.7176317986]
['note_on', 'channel=0', 'note=64', 'velocity=46', 'time=0.007291666666666667', 320380.8593750009, 86587.15303765636]
['note_on', 'channel=0', 'note=54', 'velocity=46', 'time=0.019791666666666666', 320401.4756944453, 86626.33485355593]
['note_on', 'channel=0', 'note=51', 'velocity=43', 'time=0.0125', 320414.4965277786, 86651.08126359773]
['note_on', 'channel=0', 'note=46', 'velocity=38', 'time=0.025', 320440.5381944453, 86700.57408368144]
['control_change', 'channel=0', 'control=64', 'value=0', 'time=0.14583333333333334', 320592.44791666756, 86989.2822008363]
['control_change', 'channel=0', 'control=64', 'value=127', 'time=0.21979166666666666', 320821.39756944537, 87424.40657740539]
['note_on', 'channel=0', 'note=51', 'velocity=0', 'time=0.7260416666666667', 321577.6909722232, 88861.76056066902]
['note_on', 'channel=0', 'note=54', 'velocity=0', 'time=0.38125', 321974.82638888987, 89616.52606694518]
['note_on', 'channel=0', 'note=46', 'velocity=0', 'time=0.19375', 322176.64930555655, 90000.09542259373]
['note_on', 'channel=0', 'note=64', 'velocity=0', 'time=0.33229166666666665', 322522.78645833436, 90657.93748953938]
['note_on', 'channel=0', 'note=74', 'velocity=0', 'time=0.07708333333333334', 322603.08159722324, 90810.54035146405]
['note_on', 'channel=0', 'note=68', 'velocity=0', 'time=0.00625', 322609.5920138899, 90822.913556485]
['note_on', 'channel=0', 'note=35', 'velocity=55', 'time=0.7', 323338.7586805566, 92208.71251882809]
['control_change', 'channel=0', 'control=64', 'value=0', 'time=0.075', 323416.8836805566, 92357.19097907914]
['note_on', 'channel=0', 'note=38', 'velocity=47', 'time=0.021875', 323439.6701388899, 92400.49719665233]
['note_on', 'channel=0', 'note=41', 'velocity=49', 'time=0.035416666666666666', 323476.56250000105, 92470.61202510423]
['note_on', 'channel=0', 'note=47', 'velocity=66', 'time=0.05416666666666667', 323532.9861111122, 92577.8464686189]
['control_change', 'channel=0', 'control=64', 'value=127', 'time=0.005208333333333333', 323538.4114583344, 92588.15747280305]
['note_on', 'channel=0', 'note=35', 'velocity=0', 'time=0.03854166666666667', 323578.55902777886, 92664.45890376538]
['note_on', 'channel=0', 'note=38', 'velocity=0', 'time=0.025', 323604.60069444554, 92713.9517238491]
['note_on', 'channel=0', 'note=41', 'velocity=0', 'time=0.020833333333333332', 323626.3020833344, 92755.19574058546]
['note_on', 'channel=0', 'note=47', 'velocity=0', 'time=0.00625', 323632.8125000011, 92767.56894560643]
['note_on', 'channel=0', 'note=50', 'velocity=57', 'time=0.017708333333333333', 323651.25868055667, 92802.62635983237]
['note_on', 'channel=0', 'note=53', 'velocity=48', 'time=0.09375', 323748.91493055667, 92988.22443514618]
['note_on', 'channel=0', 'note=55', 'velocity=47', 'time=0.058333333333333334', 323809.67881944554, 93103.70768200808]
['note_on', 'channel=0', 'note=50', 'velocity=0', 'time=0.053125', 323865.01736111223, 93208.87992468593]
['note_on', 'channel=0', 'note=60', 'velocity=49', 'time=0.020833333333333332', 323886.7187500011, 93250.12394142232]
['note_on', 'channel=0', 'note=55', 'velocity=0', 'time=0.019791666666666666', 323907.33506944554, 93289.30575732188]
['note_on', 'channel=0', 'note=68', 'velocity=64', 'time=0.014583333333333334', 323922.5260416678, 93318.17656903742]
['note_on', 'channel=0', 'note=65', 'velocity=52', 'time=0.010416666666666666', 323933.37673611223, 93338.7985774056]
['note_on', 'channel=0', 'note=53', 'velocity=0', 'time=0.005208333333333333', 323938.8020833345, 93349.10958158974]
['note_on', 'channel=0', 'note=72', 'velocity=61', 'time=0', 323938.8020833345, 93349.10958158974]
